Variable,Mean_VR_Group,Mean_Monitor_Group,Direction,Cohen_d,t_stat,p_value,n_VR_Group,n_Monitor_Group
Fahrfähigkeiten (Skalen),1.168922305764411,1.8903508771929827,Monitor group improved more,-1.195660103205426,-2.4668217505766084,0.029707645405177938,7,12
Fahrfähigkeiten (Quoten),0.1687689269256089,0.2594508448540706,Monitor group improved more,-1.2491442958092243,-2.2664528705794096,0.05219961833842729,7,12
Selbstvertrauen (Skalen),0.7499999999999999,1.5194805194805192,Monitor group improved more,-1.1424709855313333,-1.961968035742592,0.08924506334196104,6,11
Straßenverkehr Performance (Skalen),1.6095238095238096,2.236111111111111,Monitor group improved more,-0.9070387947001408,-1.677423582985851,0.12900442624289965,7,12
Straßenverkehr Performance (Quoten),0.31124999999999997,0.48548611111111106,Monitor group improved more,-1.1812023696208165,-1.8825944956055458,0.10722946141672983,6,12
