,ET_Immersion_vollstaendig_eingetaucht_postQ,ET_Immersion_fahrpyhsik_realistisch_postQ,ET_Immersion_training_gefaesselt_postQ,ET_Immersion_realistisch_simulation_als_real_postQ,ET_Immersion_training_vermittelt_realistische_fahrersituationen_postQ,ET_Immersion_interaktivitaet_und_steuerung_verstaerkt_realismus_postQ
count,19.0,19.0,19.0,19.0,19.0,19.0
mean,3.263157894736842,4.421052631578948,3.0,3.789473684210526,3.6315789473684212,3.263157894736842
std,0.9911892555667041,0.5072572735017881,1.2018504251546631,0.7873265148181359,0.760885910252682,0.8056815791722831
min,2.0,4.0,2.0,2.0,3.0,2.0
25%,3.0,4.0,2.0,4.0,3.0,3.0
50%,3.0,4.0,2.0,4.0,3.0,3.0
75%,4.0,5.0,4.0,4.0,4.0,4.0
max,5.0,5.0,5.0,5.0,5.0,5.0
