Difference_Variable,Correlation,p_value
Driving Abilities (Scales),0.36880157478642733,0.12023292192363895
Self-Confidence (Scales),-0.2532474243933948,0.32671878214591693
Traffic Performance (Scales),0.30145307870563504,0.20976057009528656
