,ET_Feedback_hilfreich_um_Leistungen_zu_verbessern_postQ,ET_Feedback_klar_und_verstaendlich_postQ,ET_Feedback_Lernfortschritt_gut_nachvollziehbar_postQ,ET_Feedback_angeregt_Fahrverhalten_zu_ueberdenken_postQ,ET_Feedback_geholfen_an_Schwierigkeitsgrad_anzupassen_postQ,ET_Feedback_Fahrfaehigkeiten_durch_Training_kontinuierlich_verbessert_postQ
count,19.0,19.0,19.0,19.0,19.0,19.0
mean,4.052631578947368,4.2631578947368425,4.0,3.9473684210526314,4.0,4.473684210526316
std,0.6212607441973955,0.5619514869490163,0.4714045207910317,0.6212607441973955,0.4714045207910317,0.6966922684794661
min,3.0,3.0,3.0,2.0,3.0,3.0
25%,4.0,4.0,4.0,4.0,4.0,4.0
50%,4.0,4.0,4.0,4.0,4.0,5.0
75%,4.0,5.0,4.0,4.0,4.0,5.0
max,5.0,5.0,5.0,5.0,5.0,5.0
