Variable,KMO,Bartlett's Test (chi2),Bartlett's Test (p),Number of Factors
Fahrfähigkeiten (Skalen) - Pre,0.687828433800198,235.17739836918992,7.934460633633532e-21,2
Straßenverkehr Performance (Skalen) - Pre,0.687828433800198,235.17739836918992,7.934460633633532e-21,2
