Variable,Mean_EyeTracking_Group,Mean_No_EyeTracking_Group,Direction,Cohen_d,t_stat,p_value,n_EyeTracking_Group,n_No_EyeTracking_Group
Fahrfähigkeiten (Skalen),2.0467836257309946,1.2445614035087718,Eye-Tracking group improved more,1.417942828732704,3.099052836473739,0.006525431777551781,9,10
Fahrfähigkeiten (Quoten),0.2578574273197929,0.19740757808499737,Eye-Tracking group improved more,0.7561894326063467,1.7301019384495624,0.11410260694687646,9,10
Selbstvertrauen (Skalen),1.5446428571428568,0.984126984126984,Eye-Tracking group improved more,0.7786642752121105,1.6769882494441846,0.12241798264770837,8,9
Straßenverkehr Performance (Skalen),2.388888888888889,1.6600000000000001,Eye-Tracking group improved more,1.1098930808866423,2.46379437408776,0.025456775537420668,9,10
Straßenverkehr Performance (Quoten),0.4962037037037037,0.3586111111111111,Eye-Tracking group improved more,0.8877228351876745,1.8831445097260575,0.08136228840412248,9,9
