Variable,Cronbach's Alpha
Fahrfähigkeiten (Skalen) - Pre,0.9670165739796198
Fahrfähigkeiten (Skalen) - Post,0.955494369418586
Selbstvertrauen (Skalen) - Pre,0.9758565917857953
Selbstvertrauen (Skalen) - Post,0.889936257562662
Straßenverkehr Performance (Skalen) - Pre,0.9483944503399755
Straßenverkehr Performance (Skalen) - Post,0.9492888064316635
